x,y,latitude,longitude
514870.0234,173412.4727	 , '34.56977S', '19.16142E'
514039.4609,175178.5977	 , '34.55387S', '19.15234E'
513158.2266,177006.6953	 , '34.53740S', '19.14271E'
512211.25,178886.0742	 , '34.52047S', '19.13236E'
511189.1641,180802.8281	 , '34.50320S', '19.12121E'
510092.7813,182735.1641	 , '34.48579S', '19.10925E'
508931.1719,184661.5898	 , '34.46844S', '19.09658E'
507716.4297,186565.6797	 , '34.45128S', '19.08334E'
506465.0156,188430.0039	 , '34.43449S', '19.06971E'
505202.5156,190234.8477	 , '34.41822S', '19.05596E'
503948.7344,191977.3633	 , '34.40252S', '19.04232E'
502726.1016,193652.8398	 , '34.38742S', '19.02901E'
501568.2109,195253.5508	 , '34.37299S', '19.01642E'
500480.3906,196804.457	 , '34.35901S', '19.00459E'
499476.6172,198295.1328	 , '34.34557S', '18.99368E'
488181.7891,218596.3672	 , '34.16249S', '18.87121E'
487902.3281,219113.0938	 , '34.15783S', '18.86818E'
487654.8438,219569.5	 , '34.15371S', '18.86550E'
487416.75,220007.9961	 , '34.14976S', '18.86293E'
487192.9375,220419.7109	 , '34.14604S', '18.86051E'
517414.2813,166359.8398	 , '34.63331S', '19.18929E'
516622.0547,168035.2813	 , '34.61822S', '19.18061E'
515838.3438,169714.1992	 , '34.60310S', '19.17204E'
515054.6328,171409.7734	 , '34.58782S', '19.16346E'
514263.0938,173132.6523	 , '34.57231S', '19.15481E'
513446.9219,174902.3789	 , '34.55636S', '19.14588E'
